"ID","BLUP.btw","CI.L.btw","CI.U.btw","BLUP.tarsus","CI.L.tarsus","CI.U.tarsus"
"1306",-1.00988561391222,-2.46473790948401,1.02455702350033,-1.00953776347096,-2.46453548629142,1.02449410277367
"1304",0.277609289674456,-1.45998317085242,1.75082947163927,0.277833595962351,-1.46000752269723,1.75103550967879
"1298",0.65700255185553,-1.23939461704371,2.37442885520206,0.656874357723804,-1.23960008381033,2.37355874086177
"1293",0.541540184865636,-1.45828837557374,2.23412546136583,0.541499312340286,-1.45798060680004,2.23385337786833
"1290",0.269998437871354,-0.999261999313762,2.4493719722056,0.270195788840243,-1.00044434174947,2.44809616421358
"1288",0.619010569831806,-1.84809552046296,2.06444259671954,0.618590337976469,-1.8475718508705,2.06434552166181
"1284",-0.483658734997279,-1.98180657810042,1.85724398457297,-0.483828970605373,-1.98127847536534,1.85687784971475
"1283",0.188276965838231,-2.09795867479936,1.92057198315278,0.188341664013589,-2.09760377343093,1.92050797810501
"1282",-0.0278525633052071,-1.94855849353441,1.68161237880912,-0.0277772096959468,-1.94894985704968,1.68111250788674
"1278",-0.533162768127158,-2.2319891838442,1.43998719983422,-0.532919881605907,-2.23183084543634,1.43960593783403
"1276",-0.247634608615132,-1.94030765992114,1.99219405960485,-0.247832626868694,-1.94030702320499,1.99212009093555
"1263",0.461996599139791,-1.07803108450108,2.4433092974297,0.46202129498942,-1.07828252530666,2.44344078783134
"1260",-0.10717606029854,-1.55850033447697,1.28100801421807,-0.106991314972919,-1.5584686802935,1.28155920812587
"1257",-0.816632849336048,-2.34084522250514,1.07866020394279,-0.816379795162193,-2.34094677295937,1.07895738229854
"1252",-0.817783709460755,-2.19400563174822,1.32301398271404,-0.817725016058944,-2.19455460872308,1.32355905452656
"1251",-0.31718177947834,-2.05108484286901,1.80575121439585,-0.317278122091579,-2.05091325325075,1.80587021037117
"1243",0.0396395843922193,-2.01179563672561,1.66771346211275,0.0401128143692904,-2.01205714707638,1.66765790724891
"1237",0.610989092905059,-1.56721465708445,2.05446403474553,0.610764665456373,-1.56727333667402,2.05389392242116
"1235",-0.367362591155312,-2.05362494158151,1.61986476589423,-0.367563621619426,-2.05320515913681,1.62005994038453
"1232",0.498529431133826,-0.985611148866293,2.41354791801179,0.498580303906511,-0.985428056717132,2.41322992470556
"1229",-0.176800437322092,-1.93920064104099,1.43520177361763,-0.176592575304353,-1.93895437749231,1.43462705670899
"1227",-0.0436103762894713,-1.44304152883368,1.67326190470364,-0.043981117582498,-1.44281465987805,1.67333996690373
"1224",0.0218461189682078,-1.93365746945751,1.61880592298116,0.0218987314470405,-1.93360790016393,1.61918641404938
"1220",-0.900136125611055,-2.09247950306169,1.47625980686531,-0.888801470454093,-2.09277971271638,1.47662063711977
"1219",0.280143762407383,-2.02413699467355,1.78697271838782,0.279992515943425,-2.02401419914969,1.78659179393007
"1216",-1.01550972879283,-2.24026484637973,1.14064601533123,-1.01547224908888,-2.24044576388521,1.14064993914323
"1214",-0.638065543235728,-2.17966361410848,1.42786311944985,-0.637900395413367,-2.17987272896543,1.42813822630083
"1211",-0.0205925210232487,-1.73400660770398,1.73817891666829,-0.0207833372414892,-1.73405207636648,1.73805288341633
"1195",0.91451664644563,-0.942824922954897,2.72011717375723,0.91487409851291,-0.942585001949741,2.7196347964628
"1186",-0.747679817063768,-2.06396848883584,1.6302504937062,-0.737106268169094,-2.06400529531021,1.63023136152972
"1184",0.613375102840558,-1.32660862997049,2.11673763215008,0.613187670694214,-1.32640085961172,2.11686376302342
"1174",-0.495003306923965,-2.24546506718635,1.60917231119878,-0.494941653313137,-2.24581840604249,1.60940500894303
"1150",-0.754002084753659,-2.51819158744688,1.05538462394795,-0.754418946219585,-2.51848864810659,1.05539441275029
"1146",0.467326084709747,-1.35035437742805,2.0975051071845,0.467639679916836,-1.3502402773803,2.09717402322182
"1145",0.201976624229326,-1.42864650940685,2.16385971046648,0.201864593258369,-1.42865311391937,2.16389094518225
"1140",0.150597511795758,-2.04320409819058,1.69395277624349,0.150405883503023,-2.04327668689762,1.69402690751476
"1137",-0.225207069123579,-1.84112916956583,2.04242845518025,-0.22515579866873,-1.84084028417416,2.04246711898026
